properties{
  x = 320,
  y = 240,
  width = 640,
  height = 480,
  world = "dungeon_3",
  floor = 3,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon_grayblue",
  music = "same",
}

tile{
  layer = 1,
  x = 608,
  y = 344,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.4",
}

tile{
  layer = 1,
  x = 504,
  y = 448,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.4",
}

tile{
  layer = 1,
  x = 16,
  y = 344,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.3",
}

tile{
  layer = 1,
  x = 120,
  y = 448,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.3",
}

tile{
  layer = 1,
  x = 504,
  y = 16,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.2",
}

tile{
  layer = 1,
  x = 512,
  y = 24,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.2",
}

tile{
  layer = 1,
  x = 608,
  y = 120,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.2",
}

tile{
  layer = 1,
  x = 120,
  y = 16,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.1",
}

tile{
  layer = 1,
  x = 16,
  y = 120,
  width = 16,
  height = 16,
  pattern = "wall_glass_diag.1",
}

tile{
  layer = 1,
  x = 112,
  y = 416,
  width = 16,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
  x = 96,
  y = 400,
  width = 32,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
  x = 80,
  y = 384,
  width = 48,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
  x = 64,
  y = 368,
  width = 64,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
  x = 48,
  y = 352,
  width = 80,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
  x = 112,
  y = 48,
  width = 16,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
  x = 96,
  y = 64,
  width = 32,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
  x = 80,
  y = 80,
  width = 48,
  height = 16,
  pattern = "floor.2",
}

tile{
  layer = 1,
